Designator,Mid X,Mid Y,Layer,Rotation
C1,134.62,-120.65,top,180
C2,134.62,-130.81,top,180
R1,127,-130.81,top,0
R2,127,-144.145,top,180
R3,132.08,-143.51,top,0
R4,135.89,-135.89,top,90
R5,163.83,-148.59,top,180
R6,163.83,-138.43,top,90
R7,163.83,-134.62,top,90
U2,129.54,-125.73,top,270
U3,129.54,-138.43,top,90
J3,182.245,-40.005,top,-90
J4,167.64,-40.005,top,-90
J5,111.125,-40.64,top,-90
J6,125.73,-40.64,top,-90
